oktmo,name,year,consnewapt
oktmo,municipality,year,indicator_value
04606000,Бирилюсский муниципальный район,2008,2.0
04606000,Бирилюсский муниципальный район,2009,1.0
04606000,Бирилюсский муниципальный район,2010,2.0
04606000,Бирилюсский муниципальный район,2011,2.0
04608000,Боготольский муниципальный район,2008,5.0
04608000,Боготольский муниципальный район,2009,1.0
04608000,Боготольский муниципальный район,2010,0.0
04608000,Боготольский муниципальный район,2011,1.0
04609000,Богучанский муниципальный район,2008,1.0
04609000,Богучанский муниципальный район,2009,1.0
04609000,Богучанский муниципальный район,2010,2.0
04609000,Богучанский муниципальный район,2011,3.0
04610000,Большемуртинский муниципальный район,2008,1.0
04610000,Большемуртинский муниципальный район,2009,1.0
04610000,Большемуртинский муниципальный район,2010,3.0
04610000,Большемуртинский муниципальный район,2011,2.0
04611000,Большеулуйский муниципальный район,2008,3.0
04611000,Большеулуйский муниципальный район,2009,5.0
04611000,Большеулуйский муниципальный район,2010,3.0
04611000,Большеулуйский муниципальный район,2011,3.0
04613000,Дзержинский муниципальный район,2008,2.0
04613000,Дзержинский муниципальный район,2009,2.0
04613000,Дзержинский муниципальный район,2010,1.0
04613000,Дзержинский муниципальный район,2011,1.0
04614000,Емельяновский муниципальный район,2008,8.0
04614000,Емельяновский муниципальный район,2009,8.0
04614000,Емельяновский муниципальный район,2010,6.0
04614000,Емельяновский муниципальный район,2011,6.0
04615000,Енисейский муниципальный район,2008,1.0
04615000,Енисейский муниципальный район,2009,1.0
04615000,Енисейский муниципальный район,2010,1.0
04615000,Енисейский муниципальный район,2011,1.0
04616000,Ермаковский муниципальный район,2008,3.0
04616000,Ермаковский муниципальный район,2009,4.0
04616000,Ермаковский муниципальный район,2010,5.0
04616000,Ермаковский муниципальный район,2011,3.0
04617000,Идринский муниципальный район,2008,1.0
04617000,Идринский муниципальный район,2009,1.0
04617000,Идринский муниципальный район,2010,0.0
04617000,Идринский муниципальный район,2011,1.0
04618000,Иланский муниципальный район,2008,2.0
04618000,Иланский муниципальный район,2009,3.0
04618000,Иланский муниципальный район,2010,3.0
04618000,Иланский муниципальный район,2011,3.0
04619000,Ирбейский муниципальный район,2008,1.0
04619000,Ирбейский муниципальный район,2009,3.0
04619000,Ирбейский муниципальный район,2010,1.0
04619000,Ирбейский муниципальный район,2011,1.0
04620000,Казачинский муниципальный район,2008,3.0
04620000,Казачинский муниципальный район,2009,7.0
04620000,Казачинский муниципальный район,2010,4.0
04620000,Казачинский муниципальный район,2011,1.0
04621000,Канский муниципальный район,2008,2.0
04621000,Канский муниципальный район,2009,2.0
04621000,Канский муниципальный район,2010,2.0
04621000,Канский муниципальный район,2011,1.0
04622000,Каратузский муниципальный район,2008,3.0
04622000,Каратузский муниципальный район,2009,3.0
04622000,Каратузский муниципальный район,2010,4.0
04622000,Каратузский муниципальный район,2011,5.0
04624000,Кежемский муниципальный район,2008,6.0
04624000,Кежемский муниципальный район,2009,6.0
04624000,Кежемский муниципальный район,2010,18.0
04624000,Кежемский муниципальный район,2011,8.0
04626000,Козульский муниципальный район,2008,1.0
04626000,Козульский муниципальный район,2009,1.0
04626000,Козульский муниципальный район,2010,0.0
04626000,Козульский муниципальный район,2011,1.0
04628000,Краснотуранский муниципальный район,2008,1.0
04628000,Краснотуранский муниципальный район,2009,1.0
04628000,Краснотуранский муниципальный район,2010,1.0
04628000,Краснотуранский муниципальный район,2011,3.0
04630000,Курагинский муниципальный район,2008,5.0
04630000,Курагинский муниципальный район,2009,5.0
04630000,Курагинский муниципальный район,2010,4.0
04630000,Курагинский муниципальный район,2011,3.0
04631000,Манский муниципальный район,2008,3.0
04631000,Манский муниципальный район,2009,3.0
04631000,Манский муниципальный район,2010,4.0
04631000,Манский муниципальный район,2011,2.0
04633000,Минусинский муниципальный район,2008,1.0
04633000,Минусинский муниципальный район,2009,2.0
04633000,Минусинский муниципальный район,2010,2.0
04633000,Минусинский муниципальный район,2011,2.0
04635000,Мотыгинский муниципальный район,2008,2.0
04635000,Мотыгинский муниципальный район,2009,2.0
04635000,Мотыгинский муниципальный район,2010,0.0
04635000,Мотыгинский муниципальный район,2011,1.0
04637000,Назаровский муниципальный район,2008,5.0
04637000,Назаровский муниципальный район,2009,2.0
04637000,Назаровский муниципальный район,2010,2.0
04637000,Назаровский муниципальный район,2011,4.0
04639000,Нижнеингашский муниципальный район,2008,1.0
04639000,Нижнеингашский муниципальный район,2009,1.0
04639000,Нижнеингашский муниципальный район,2010,1.0
04639000,Нижнеингашский муниципальный район,2011,1.0
04641000,Новоселовский муниципальный район,2008,1.0
04641000,Новоселовский муниципальный район,2009,2.0
04641000,Новоселовский муниципальный район,2010,0.0
04641000,Новоселовский муниципальный район,2011,1.0
04643000,Партизанский муниципальный район,2008,1.0
04643000,Партизанский муниципальный район,2009,0.0
04643000,Партизанский муниципальный район,2010,2.0
04643000,Партизанский муниципальный район,2011,2.0
04645000,Пировский муниципальный район,2008,0.0
04645000,Пировский муниципальный район,2009,0.0
04645000,Пировский муниципальный район,2010,0.0
04645000,Пировский муниципальный район,2011,0.0
04647000,Рыбинский муниципальный район,2008,1.0
04647000,Рыбинский муниципальный район,2009,3.0
04647000,Рыбинский муниципальный район,2010,2.0
04647000,Рыбинский муниципальный район,2011,1.0
04647101,город Заозерный,2008,1.0
04648000,Саянский муниципальный район,2008,1.0
04648000,Саянский муниципальный район,2009,1.0
04648000,Саянский муниципальный район,2010,1.0
04648000,Саянский муниципальный район,2011,0.0
04649000,Северо-Енисейский муниципальный район,2008,22.0
