oktmo,name,year,parks
3651000,Темрюкский муниципальный район,2008,1.0
3651000,Темрюкский муниципальный район,2009,1.0
3651000,Темрюкский муниципальный район,2010,1.0
3651000,Темрюкский муниципальный район,2011,1.0
3651000,Темрюкский муниципальный район,2012,1.0
3651000,Темрюкский муниципальный район,2013,1.0
3651000,Темрюкский муниципальный район,2014,1.0
3651000,Темрюкский муниципальный район,2015,1.0
3651000,Темрюкский муниципальный район,2016,1.0
3651000,Темрюкский муниципальный район,2017,1.0
3651101,Темрюкское,2007,1.0
3651101,Темрюкское,2008,1.0
3651101,Темрюкское,2009,1.0
3651101,Темрюкское,2010,1.0
3651101,Темрюкское,2011,1.0
3651101,Темрюкское,2012,1.0
3651101,Темрюкское,2013,1.0
3651101,Темрюкское,2014,1.0
3651101,Темрюкское,2015,1.0
3651101,Темрюкское,2016,1.0
3651101,Темрюкское,2017,1.0
3653000,Тимашевский муниципальный район,2007,1.0
3653000,Тимашевский муниципальный район,2008,1.0
3653000,Тимашевский муниципальный район,2009,1.0
3653000,Тимашевский муниципальный район,2010,1.0
3653000,Тимашевский муниципальный район,2011,1.0
3653000,Тимашевский муниципальный район,2012,1.0
3653000,Тимашевский муниципальный район,2013,1.0
3653000,Тимашевский муниципальный район,2014,1.0
3653000,Тимашевский муниципальный район,2015,1.0
3653000,Тимашевский муниципальный район,2016,1.0
3653000,Тимашевский муниципальный район,2017,1.0
3653101,Тимашевское,2007,1.0
3653101,Тимашевское,2008,1.0
3653101,Тимашевское,2009,1.0
3653101,Тимашевское,2010,1.0
3653101,Тимашевское,2011,1.0
3653101,Тимашевское,2012,1.0
3653101,Тимашевское,2013,1.0
3653101,Тимашевское,2014,1.0
3653101,Тимашевское,2015,1.0
3653101,Тимашевское,2016,1.0
3653101,Тимашевское,2017,1.0
3654000,Тихорецкий муниципальный район,2007,1.0
3654000,Тихорецкий муниципальный район,2008,4.0
3654000,Тихорецкий муниципальный район,2009,4.0
3654000,Тихорецкий муниципальный район,2010,4.0
3654000,Тихорецкий муниципальный район,2011,4.0
3654000,Тихорецкий муниципальный район,2012,4.0
3654000,Тихорецкий муниципальный район,2013,4.0
3654000,Тихорецкий муниципальный район,2014,3.0
3654000,Тихорецкий муниципальный район,2015,3.0
3654000,Тихорецкий муниципальный район,2016,2.0
3654000,Тихорецкий муниципальный район,2017,2.0
3654101,Тихорецкое,2008,3.0
3654101,Тихорецкое,2009,3.0
3654101,Тихорецкое,2010,3.0
3654101,Тихорецкое,2011,3.0
3654101,Тихорецкое,2012,3.0
3654101,Тихорецкое,2013,3.0
3654101,Тихорецкое,2014,2.0
3654101,Тихорецкое,2015,2.0
3654101,Тихорецкое,2016,2.0
3654101,Тихорецкое,2017,2.0
3654416,Парковское,2007,1.0
3654416,Парковское,2008,1.0
3654416,Парковское,2009,1.0
3654416,Парковское,2010,1.0
3654416,Парковское,2011,1.0
3654416,Парковское,2012,1.0
3654416,Парковское,2013,1.0
3654416,Парковское,2014,1.0
3654416,Парковское,2015,1.0
3655000,Туапсинский муниципальный район,2008,1.0
3655000,Туапсинский муниципальный район,2009,1.0
3655000,Туапсинский муниципальный район,2010,1.0
3655000,Туапсинский муниципальный район,2011,1.0
